Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,07/03/2026,"POS DEBIT                AMAZON MKTPLACE PMTS      AMZN.COM/BIL WA                                                                                                                                                                                                                                                                        9851",-100.97,MISC_DEBIT, ,,
DEBIT,07/03/2026,"POS DEBIT                AMAZON.COM                AMZN.COM/BIL WA                                                                                                                                                                                                                                                                        9851",-4.25,MISC_DEBIT, ,,
DEBIT,07/03/2026,"Online Payment To  Adam ATV 07/03",-200.00,BILLPAY, ,,
DEBIT,07/03/2026,"ONLINE TRANSFER TO  CHK ...4072 TRANSACTION#: 29499630106 07/03",-500.00,ACCT_XFER, ,,
DEBIT,07/03/2026,"ONLINE TRANSFER TO  CHK ...0459 TRANSACTION#: 29499224039 07/03",-500.00,ACCT_XFER, ,,
DEBIT,07/03/2026,"POS DEBIT                MARKET DISTRICT #0014 C  BETHEL PARK   PA                                                                                                                                                                                                                                                                        3878",-252.37,MISC_DEBIT, ,,
DEBIT,07/03/2026,"POS DEBIT                IPHONE CITIZENSONELOAN   BRIDGEPORT    CT",-62.41,MISC_DEBIT, ,,
DEBIT,07/03/2026,"POS DEBIT                FYZICAL THERAPY & BALAN  BRIDGEVILLE   PA",-40.00,MISC_DEBIT, ,,
DEBIT,07/03/2026,"POS DEBIT                AMAZON MKTPLACE PMTS     Amzn.com/bil  WA                                                                                                                                                                                                                                                                        9851",-29.67,MISC_DEBIT, ,,
DEBIT,07/02/2026,"PAYPAL           PURCHASE   INSTACART COSTC WEB ID: PAYPALSI77",-18.84,ACH_DEBIT,19216.02,,
DEBIT,07/02/2026,"PAYPAL           PURCHASE   INSTACART COSTC WEB ID: PAYPALSI77",-582.80,ACH_DEBIT,19234.86,,
DEBIT,07/02/2026,"GIANT EAGLE #1241 BRIDGEVILLE PA             07/02",-105.31,DEBIT_CARD,19817.66,,
DEBIT,07/02/2026,"Online Transfer to CHK ...0459 transaction#: 29858293036 07/02",-340.00,ACCT_XFER,19922.97,,
DEBIT,07/02/2026,"Online Transfer to SAV ...9301 transaction#: 29858280040 07/02",-1300.00,ACCT_XFER,20262.97,,
DEBIT,07/02/2026,"Online Transfer to SAV ...9301 transaction#: 29858232737 07/02",-3125.00,ACCT_XFER,21562.97,,
DEBIT,07/02/2026,"PAYPAL           PURCHASE   STARLINK CAPTUR WEB ID: PAYPALSI77",-55.00,ACH_DEBIT,24687.97,,
DEBIT,07/02/2026,"APPLECARD GSBANK PAYMENT    466580          WEB ID: 9999999999",-369.00,ACH_DEBIT,24742.97,,
DEBIT,07/02/2026,"VERIZON*RECURRING PAY 800-VERIZON FL         07/02",-89.99,DEBIT_CARD,25111.97,,
DEBIT,07/02/2026,"APPLE.COM/BILL 866-712-7753 CA               07/01",-25.66,DEBIT_CARD,25201.96,,
CREDIT,07/02/2026,"GOOGLE LLC       PAYROLL                    PPD ID: J770493581",4285.19,ACH_CREDIT,25227.62,,
DEBIT,07/01/2026,"PAYPAL           PURCHASE   SPOTIFY*P4425DD WEB ID: PAYPALSI77",-23.53,ACH_DEBIT,20942.43,,
