Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,05/01/2026,"PAYPAL           PURCHASE   SPOTIFY*P420362 WEB ID: PAYPALSI77",-23.53,ACH_DEBIT,1524.48,,
DEBIT,05/01/2026,"APPLECARD GSBANK PAYMENT    466580          WEB ID: 9999999999",-162.00,ACH_DEBIT,1548.01,,
DEBIT,05/01/2026,"BJS.COM EXP 800-257-2582 MA                  04/30",-280.25,DEBIT_CARD,1710.01,,
DEBIT,05/01/2026,"TROPICAL SMOOTHIE CAFE BRIDGEVILLE PA        04/30",-17.70,DEBIT_CARD,1990.26,,
DEBIT,05/01/2026,"PITTSBURGH MOBILE VE WWW.PGHMOBILE PA        04/30",-119.00,DEBIT_CARD,2007.96,,
DEBIT,04/30/2026,"ATM WITHDRAWAL                       001896  04/301163 WASH",-1125.00,ATM,2126.96,,
DEBIT,04/30/2026,"APPLE.COM/BILL 866-712-7753 CA               04/30",-39.73,DEBIT_CARD,3251.96,,
DEBIT,04/30/2026,"Online Payment 28648468141 To Northwest 04/30",-200.00,BILLPAY,3291.69,,
DEBIT,04/30/2026,"FirstEnergy      OPCO-ACH                   PPD ID: 1341968288",-294.71,ACH_DEBIT,3491.69,,
DEBIT,04/30/2026,"APPLE.COM/BILL 866-712-7753 CA               04/30",-29.99,DEBIT_CARD,3786.40,,
DEBIT,04/30/2026,"UBER   *EATS HELP.UBER.COM CA                04/30",-190.06,DEBIT_CARD,3816.39,,
DEBIT,04/30/2026,"UPMC PHYSICIANS 888-647-9600 PA              04/30",-30.00,DEBIT_CARD,4006.45,,
DEBIT,04/29/2026,"PAYPAL           PURCHASE   STEAM GAMES     WEB ID: PAYPALSI77",-10.69,ACH_DEBIT,4036.45,,
DEBIT,04/29/2026,"SHANTI BLISS WELLNES WWW.SHANTIBLI PA        04/29",-20.00,DEBIT_CARD,4047.14,,
DEBIT,04/29/2026,"PENNSYLVANIA-AME PAYMENT                    PPD ID: 7251008096",-155.50,ACH_DEBIT,4067.14,,
DEBIT,04/29/2026,"AMAZON MKTPL*BJ1KZ4F Amzn.com/bill WA        04/29",-79.48,DEBIT_CARD,4222.64,,
DEBIT,04/28/2026,"CONNECTED HEALTH WWW.CONNECTED PA            04/28",-199.00,DEBIT_CARD,4302.12,,
DEBIT,04/28/2026,"SOUTH FAYETTE MA PAYMENTS   0001006617.2    WEB ID: 1251250775",-138.84,ACH_DEBIT,4501.12,,
DEBIT,04/28/2026,"APPLE.COM/BILL 866-712-7753 CA               04/28",-8.55,DEBIT_CARD,4639.96,,
DEBIT,04/28/2026,"SINCERELY YOGURT BRIDG BRIDGEVILLE PA        04/27",-13.23,DEBIT_CARD,4648.51,,
DEBIT,04/28/2026,"PEACE OF MIND PSYCHIAT 412-3197866 PA        04/27",-20.00,DEBIT_CARD,4661.74,,
DEBIT,04/28/2026,"TROPICAL SMOOTHIE CAFE BRIDGEVILLE PA        04/27",-33.68,DEBIT_CARD,4681.74,,
DEBIT,04/28/2026,"PITTSBURGH MOBILE VE WWW.PGHMOBILE PA        04/27",-78.00,DEBIT_CARD,4715.42,,
DEBIT,04/27/2026,"Online Transfer to GMR ...3259 transaction#: 28988060915 04/27",-5.00,ACCT_XFER,4793.42,,
DEBIT,04/27/2026,"GOOGLE *Google One g.co/helppay# CA          04/27",-21.39,DEBIT_CARD,4798.42,,
DEBIT,04/27/2026,"Online Transfer to GMR ...3259 transaction#: 28982187154 04/27",-25.00,ACCT_XFER,4819.81,,
DEBIT,04/27/2026,"Online Transfer to  CHK ...5269 transaction#: 28897922743 04/27",-25.00,ACCT_XFER,4844.81,,
DEBIT,04/27/2026,"Online Transfer to  CHK ...1108 transaction#: 28898197291 04/27",-40.00,ACCT_XFER,4869.81,,
DEBIT,04/27/2026,"Online Transfer to GMR ...3259 transaction#: 28976654458 04/27",-40.00,ACCT_XFER,4909.81,,
DEBIT,04/27/2026,"CVS/PHARMACY #03999 CARNEGIE PA              04/26",-10.00,DEBIT_CARD,4949.81,,
